Timestamp,ID,Label,Confidence,BBox_Position_X,BBox_Position_Y,BBox_Size_X,BBox_Size_Y,BBox_Size_Z,BBox_Yaw,Velocity_X,Velocity_Y,Tracking_Status
1633705230077,351406,1,0.6661931872,-9.335184097,-6.251220226,2.246174335,5.899932861,1.162817955,6.024888992,0.02966492251,1.74E-06,3
1633705230077,351421,1,0.7980291247,-4.192785263,-8.984544754,1.958007813,4.84765625,1.158581734,6.034654617,0.03082741611,-1.22E-07,3
1633705230077,351444,4,0.2800000012,-11.70870876,6.777630329,0.1593513489,0.3177480698,1.305948734,0.1745328903,0,0,1
1633705230077,351445,4,0.2800000012,-11.76658726,7.642030716,0.3396253586,0.1235280037,1.39898777,5.585053921,0,0,1
1633705230203,351406,1,0.6661931872,-9.358590126,-6.25046587,2.246166229,5.9140625,1.126092911,6.06297493,0.04709407687,2.23E-06,3
1633705230203,351421,1,0.7980291247,-4.227832794,-8.936156273,1.955664039,4.825390816,1.492217541,6.048326492,0.02692369372,5.63E-07,3
1633705230203,351446,4,0.2800000012,-11.1875,7.765625,2.04296875,4.94140625,1.870788097,0.06005430222,0,0,1
1633705230296,351406,1,0.6661931872,-9.349573135,-6.288805485,2.246159077,6.0390625,1.12783432,6.050279617,0.02592791617,3.64E-07,3
1633705230296,351421,1,0.7980291247,-4.222104073,-8.975613594,1.952089787,4.813554764,1.162099838,6.04344368,0.01935963146,-1.69E-07,3
1633705230296,351446,4,0.2800000012,-11.53658676,7.230685234,1.860404134,4.524623871,1.57571888,3.141592503,-0.01859846897,0.01794597134,1
1633705230296,351447,4,0.2800000012,-11.7731266,7.846073151,0.3453292847,0.6431789398,1.895305872,0.1745328903,0,0,1
1633705230402,351406,1,0.6661931872,-9.317643166,-6.267598629,2.242435932,6.008515358,1.125802994,6.040513992,0.01730861701,5.10E-07,3
1633705230402,351421,1,0.7980291247,-4.226054192,-8.991882324,1.946368575,4.797299862,1.327400208,6.05125618,0.0263182018,3.65E-07,3
1633705230402,351446,4,0.2800000012,-11.24656868,6.56062746,5.03515625,2.050976515,1.937197208,4.799787045,1.914881349,-3.470077991,1
1633705230507,351406,1,0.6661931872,-9.313167572,-6.314662933,2.239676714,5.987741947,1.127341747,6.041490555,0.04177808017,5.85E-07,3
1633705230507,351421,1,0.7980291247,-4.259680271,-9.035526276,1.943723917,4.778116703,1.143358707,6.030748367,0.02836682647,-3.69E-07,3
