Timestamp,Code,Param,Message,,1,Phase Begin Green  (Phase )
1633705143,1000,0,Data Gap Alarm,,10,Phase Begin Red Cl  (Phase )
1633705143,173,2,Unit Flash Status,,81,Detector Off  (Veh Det #)
1633705143,174,128,Unit Alarm Status 1,,82,Detector On  (Veh Det #)
1633705143,175,0,Alarm Group Status,,,
1633705143,177,1,Special Func Output Off  (Func #1),,,
1633705143,177,2,Special Func Output Off  (Func #2),,,
1633705143,177,3,Special Func Output Off  (Func #3),,,
1633705143,177,4,Special Func Output Off  (Func #4),,,
1633705143,177,5,Special Func Output Off  (Func #5),,,
1633705143,177,6,Special Func Output Off  (Func #6),,,
1633705143,177,7,Special Func Output Off  (Func #7),,,
1633705143,177,8,Special Func Output Off  (Func #8),,,
1633705143,131,6,Coord Pattern  (Pattern #6),,,
1633705143,132,80,Coord Cycle Length = 80s,,,
1633705143,133,54,Coord Offset = 54s,,,
1633705143,134,13,Programmed Split 1 Length = 13s,,,
1633705143,135,32,Programmed Split 2 Length = 32s,,,
1633705143,136,0,Programmed Split 3 Length = 0s,,,
1633705143,137,35,Programmed Split 4 Length = 35s,,,
1633705143,138,0,Programmed Split 5 Length = 0s,,,
1633705143,139,0,Programmed Split 6 Length = 0s,,,
1633705143,140,0,Programmed Split 7 Length = 0s,,,
1633705143,141,0,Programmed Split 8 Length = 0s,,,
1633705143,142,0,Programmed Split 9 Length = 0s,,,
1633705143,143,0,Programmed Split 10 Length = 0s,,,
1633705143,144,0,Programmed Split 11 Length = 0s,,,
1633705143,145,0,Programmed Split 12 Length = 0s,,,
1633705143,146,0,Programmed Split 13 Length = 0s,,,
1633705143,147,0,Programmed Split 14 Length = 0s,,,
1633705143,148,0,Programmed Split 15 Length = 0s,,,
1633705143,149,0,Programmed Split 16 Length = 0s,,,
1633705143,82,10,Detector On  (Veh Det #10),,,
1633705143,9,2,Phase End Yellow Cl  (Phase 2),,,
1633705143,10,2,Phase Begin Red Cl  (Phase 2),,,
1633705143,64,1,Overlap Begin Red Cl  (Overlap  (Overlap A),,,
1633705144,81,2,Detector Off  (Veh Det #2),,,
1633705144,82,2,Detector On  (Veh Det #2),,,
1633705144,81,1,Detector Off  (Veh Det #1),,,
1633705144,44,1,Phase Call Dropped  (Phase 1),,,
1633705144,12,2,Phase Inactive  (Phase 2),,,
1633705144,11,2,Phase End Red Cl  (Phase 2),,,
1633705144,0,4,Phase On  (Phase 4),,,
1633705144,1,4,Phase Begin Green  (Phase 4),,,
1633705144,65,1,Overlap Off  (Overlap  (Overlap A),,,
1633705144,31,1,Barrier Term  (Preceding Phase 1),,,
1633705145,81,10,Detector Off  (Veh Det #10),,,
1633705145,48,4,Ped Omit On  (Ped 4),,,
1633705145,41,2,Phase Hold Active  (Phase 2),,,
1633705150,81,15,Detector Off  (Veh Det #15),,,
1633705150,3,4,Phase Min Complete  (Phase 4),,,
1633705155,81,4,Detector Off  (Veh Det #4),,,
1633705155,44,4,Phase Call Dropped  (Phase 4),,,
1633705157,7,4,Phase Green Term  (Phase 4),,,
1633705157,8,4,Phase Begin Yellow Cl  (Phase 4),,,
1633705157,4,4,Phase Gap Out  (Phase 4),,,
